"(x, y)",Year,Month,Town,Block,Floor_Area,Flat_Model,Lease_Commence_Date,Price_Per_Square_Meter
"(7, 132)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(7, 133)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(7, 134)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(7, 135)",2019,07,JURONG WEST,818,139,Model A,1993,2734
"(7, 136)",2019,07,JURONG WEST,818,139,Model A,1993,2734
"(7, 137)",2019,07,JURONG WEST,818,139,Model A,1993,2734
"(7, 138)",2019,07,JURONG WEST,818,139,Model A,1993,2734
"(7, 139)",2019,07,JURONG WEST,818,139,Model A,1993,2734
"(7, 140)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(7, 141)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(7, 142)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(7, 143)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(7, 144)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(7, 145)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(7, 146)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(7, 147)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(7, 148)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(7, 149)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(7, 150)",2019,07,JURONG WEST,407,150,Maisonette,1985,3253
"(8, 80)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 81)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 82)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 83)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 84)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 85)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 86)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 87)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 88)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 89)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 90)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 91)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 92)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 93)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 94)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 95)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 96)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 97)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 98)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 99)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 100)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 101)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 102)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 103)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 104)",2019,06,YISHUN,816,104,Model A,1988,2308
"(8, 105)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 106)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 107)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 108)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 109)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 110)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 111)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 112)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 113)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 114)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 115)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 116)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 117)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 118)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 119)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 120)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 121)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 122)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 123)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 124)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 125)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 126)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 127)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 128)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 129)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 130)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 131)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 132)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 133)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 134)",2019,11,JURONG WEST,555,134,Model A,1985,2575
"(8, 135)",2019,07,JURONG WEST,818,139,Model A,1993,2734
"(8, 136)",2019,07,JURONG WEST,818,139,Model A,1993,2734
"(8, 137)",2019,07,JURONG WEST,818,139,Model A,1993,2734
"(8, 138)",2019,07,JURONG WEST,818,139,Model A,1993,2734
"(8, 139)",2019,07,JURONG WEST,818,139,Model A,1993,2734
"(8, 140)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(8, 141)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(8, 142)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(8, 143)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(8, 144)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(8, 145)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(8, 146)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(8, 147)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(8, 148)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(8, 149)",2019,09,JURONG WEST,558,149,Maisonette,1985,3054
"(8, 150)",2019,07,JURONG WEST,407,150,Maisonette,1985,3253
